	id	label	sex	role	nature	importance	position	act_1	act_2	act_3	act_4	act_5	first act	middle act	last act
#elec	#elec	Electra	F	protagonist	person	primary	1	89	78	117	81	18	89	92.0	18
#evar	#evar	Evarista	F	other	person	secondary	2	28	96	0	36	25	28	44.0	25
#maxi	#maxi	Máximo	M	lover	person	primary	3	36	19	147	37	31	36	67.66666666666667	31
#pant	#pant	Don Salvador Pantoja	M	antagonist	person	primary	4	55	22	16	91	24	55	43.0	24
#marq	#marq	El Marqués de Ronda	M	other	person	secondary	5	76	35	37	25	25	76	32.333333333333336	25
#cues	#cues	Don Leonardo Cuesta	M	other	person	secondary	6	60	44	0	0	0	60	14.666666666666666	0
#urba	#urba	Don Urbano García Yuste	M	other	person	secondary	7	34	50	0	15	8	34	21.666666666666668	8
#mari	#mari	Mariano	M	other	person	minor	8	0	0	11	0	0	0	3.6666666666666665	0
#gil_	#gil_	Gil	M	other	person	minor	9	0	0	9	0	0	0	3.0	0
#balb	#balb	Balbina	F	other	person	minor	10	0	12	0	5	0	0	5.666666666666667	0
#patr	#patr	Patros	F	other	person	minor	11	7	13	0	15	0	7	9.333333333333334	0
#jose	#jose	José	M	other	person	minor	12	16	8	0	0	0	16	2.6666666666666665	0
#doro	#doro	Sor Dorotea	F	other	person	secondary	13	0	0	0	0	29	0	0.0	29
#oper	#oper	Un operario	M	other	person	minor	14	0	0	5	0	0	0	1.6666666666666667	0
#eleu	#eleu	La sombra de Eleuteria	F	other	non-human	secondary	15	0	0	0	0	2	0	0.0	2
