	act_1	act_2	act_3	act_4	act_5
#caba	22	75	40	34	26
#gala	1	47	24	52	13
#dona	0	8	44	32	11
#sabe	27	16	34	0	9
#libe	0	24	0	36	21
#cara	0	0	16	53	0
#farr	0	0	21	46	0
#roja	19	15	12	7	5
#pich	0	0	0	39	0
#escr	0	0	24	0	0
#pedr	0	13	0	10	0
#capi	18	0	0	0	0
#dped	0	18	0	0	0
#pren	0	0	11	0	6
#cape	0	2	15	0	0
#maur	0	0	15	0	0
#rosa	0	0	5	0	10
#sueg	0	0	9	0	6
#manc	0	0	5	0	9
#rose	0	0	12	0	0
#rosi	10	0	0	0	0
#cura	0	10	0	0	0
#nino	0	0	0	9	0
#algu	0	0	9	0	0
#viso	0	0	0	0	8
#gazu	0	0	0	0	7
#andr	0	0	7	0	0
#ladr	7	0	0	0	0
#abue	0	0	7	0	0
#mari	0	0	6	0	0
#rosm	6	0	0	0	0
#rapa	0	0	5	0	0
#gine	0	0	5	0	0
#vie1	1	4	0	0	0
#pere	0	0	0	0	5
#viej	0	4	0	0	0
#enma	4	0	0	0	0
#zaga	3	0	0	0	1
#mozo	0	4	0	0	0
#patr	0	3	0	0	0
#manu	0	3	0	0	0
#espo	0	0	0	0	3
#cieg	0	0	0	0	3
#moza	1	2	0	0	0
#biei	0	0	2	0	0
#fray	2	0	0	0	0
#fons	0	2	0	0	0
#chan	0	0	2	0	0
#otro	2	0	0	0	0
#dean	0	0	2	0	0
#barq	0	0	0	0	1
#mend	0	1	0	0	0
#otra	0	0	1	0	0
#una_	0	0	1	0	0
#borr	0	0	1	0	0
#cint	0	1	0	0	0
#crib	0	1	0	0	0
#lana	0	1	0	0	0
#peab	0	1	0	0	0
#mar2	0	1	0	0	0
#mar1	0	1	0	0	0
#veci	1	0	0	0	0
#vie2	1	0	0	0	0
#voz_	1	0	0	0	0
#mona	1	0	0	0	0
#eco_	0	1	0	0	0
#cria	0	0	0	0	0
