	id	label	description
0	#perf	Doña Perfecta,	viuda noble. 
1	#rosa	Rosarito,	su hija. 
2	#reme	María Remedios,	viuda plebeya, sobrina de Don Inocencio.
3	#libr	Librada,	criada. 
4	#pepe	Pepe Rey,	ingeniero de caminos, sobrino de Doña Perfecta.
5	#inoc	Don Inocencio,	canónigo y humanista. 
6	#cris	Cristóbal Ramos (Caballuco),	cabecilla. 
7	#jaci	Jacintito,	hijo de María Remedios.
8	#caye	Don Cayetano,	hermano de doña Perfecta.
9	#juan	Don Juan Tafetán,	viejo verde.
10	#varg	Vargas,	teniente coronel de infantería.
11	#pinz	Pinzón,	capitán de caballería.
12	#licu	El tío Licurgo,	lugareño.
13	#paso	Pasolargo,	cabecilla.
14	#este	Esteban Romero,	cabecilla.
15	#cabo	Cabo Cartero.	
