	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36
#juan	0	0	3	23	5	0	0	0	0	0	0	1	2	7	12	0	0	0	0	0	11	21	7	17	0	30	11	1	5	0	0	2	17	0	8	3
#rosa	0	0	0	0	0	0	0	1	9	22	17	0	0	2	2	3	5	9	7	12	5	20	4	16	0	0	0	0	0	8	4	3	16	1	8	0
#isid	0	0	0	0	8	7	8	3	9	17	4	3	0	0	0	5	0	9	4	12	7	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0
#andr	3	23	2	23	5	0	0	0	0	0	0	3	3	3	3	0	0	1	15	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3
#cano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	13	0	5	0	0	0	0	0	0	0
#paco	0	0	0	0	0	1	15	0	0	2	17	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
#tonu	0	0	0	0	0	0	0	1	12	1	0	0	1	4	2	2	4	8	4	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
#tabe	1	5	1	0	1	6	6	4	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#igna	7	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#peri	8	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#beb1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#beb2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#cabo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mozo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
