	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38
#pepe	0	0	15	37	0	0	33	5	37	7	6	19	0	24	0	0	9	4	6	7	6	1	20	1	33	0	0	0	4	14	0	0	0	0	0	0	0	3
#perf	0	0	11	29	0	0	0	4	27	0	0	23	4	0	13	8	7	4	6	8	0	0	0	1	33	0	0	0	0	13	11	11	4	31	1	0	22	8
#rosa	0	3	6	16	0	7	34	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	1	21	4
#reme	12	3	0	0	11	7	0	0	0	0	0	0	0	2	14	7	3	0	0	0	0	0	0	0	0	12	4	0	0	1	6	11	2	11	0	0	0	8
#inoc	0	0	7	18	13	0	0	2	11	0	0	0	0	0	0	9	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#juan	0	0	0	0	0	0	0	0	6	0	0	1	4	26	0	0	0	0	0	0	0	0	0	0	0	0	5	11	3	0	0	0	0	0	0	0	0	0
#caye	0	0	6	8	0	0	0	0	0	8	2	9	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#jaci	0	0	0	0	0	0	0	3	6	0	5	7	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0
#varg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	12	3	2	0	0	0	0	0	0	0	0
#cris	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
#licu	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
#pinz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	3	2	0	0	0	0	0	0	0	0
#paso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
#libr	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#este	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
#cabo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
