	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20
#marg	0	0	12	6	23	0	25	19	1	31	0	8	18	26	0	20	36	0	15	0
#pedr	14	0	0	7	9	0	0	0	21	0	25	0	0	22	0	18	0	10	0	6
#luce	24	22	0	0	0	0	0	15	0	29	0	0	0	0	0	0	0	29	0	0
#tatu	0	21	16	0	10	0	2	1	0	0	0	12	0	0	0	6	36	9	0	3
#simo	0	0	0	0	0	0	0	0	0	0	23	0	0	20	0	9	0	29	0	2
#migu	0	20	0	0	0	0	11	4	0	0	0	16	0	0	0	0	0	0	4	0
#grit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10
#cieg	0	0	0	0	0	0	20	9	0	0	0	0	0	0	0	0	0	0	0	0
#peda	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#tras	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
#rein	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#veci	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#ludo	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
#beni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
#poca	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#idio	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
#sere	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	3
#quin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2
#mujs	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#milo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2
#viej	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0
#vend	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0
#sold	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
#pere	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
#par	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
#muje	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
#matr	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
#trop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
#beat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
#vent	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
#rapa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#chal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#sapo	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#coim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#colo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
