	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15
#max	26	17	17	32	19	25	0	36	29	28	9	40	0	0	0
#lati	15	8	12	23	4	0	12	0	19	3	5	38	12	0	30
#pisa	0	0	30	11	0	0	0	0	0	0	0	0	0	0	18
#dori	0	0	0	19	0	0	28	0	0	0	0	0	11	0	0
#rube	0	0	0	0	0	0	0	0	27	0	0	0	0	16	0
#coll	27	0	0	0	0	0	0	0	0	0	0	0	13	0	0
#luna	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
#fili	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
#mini	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
#clau	13	0	0	0	0	0	0	0	0	0	0	0	13	0	0
#pres	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
#sera	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
#marq	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
#pica	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12
#chic	0	0	12	0	0	0	0	0	0	0	0	0	0	0	7
#dieg	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
#gay	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
#zara	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
#port	0	0	0	0	0	0	0	0	0	0	2	5	9	0	0
#sere	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0
#sepu	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
#grup	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0
#borr	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1
#poll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
#viej	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
#rey	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
#basi	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
#osep	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
#guar	0	0	0	7	2	0	0	0	0	0	1	0	0	0	0
#madr	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
#otro	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0
#pere	0	0	0	2	0	0	3	0	0	0	0	0	3	0	0
#clar	0	0	0	2	0	0	4	0	0	0	0	0	2	0	0
#veci	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
#empe	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
#ujie	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
#capi	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
#jove	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
#tabe	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
#reti	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
#alba	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
#chica	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
#guin	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
#can	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
#coch	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
#llav	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
#voz	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
#veno	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
#veja	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
#loro	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
#gato	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
#pelo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
#cons	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
#trap	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
#peri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
#cela	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#galv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#ming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#luci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#rafa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#otra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#turb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
