	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17
#alge	0	29	19	0	0	0	0	0	0	5	5	10	3	1	6	7	9
#cans	0	30	11	0	1	0	0	0	0	0	6	4	0	0	0	0	8
#jorg	0	0	0	0	0	0	7	2	1	5	1	6	4	0	1	0	0
#memb	0	0	0	0	0	0	6	1	0	0	0	0	6	1	5	1	0
#mart	0	0	10	1	0	0	0	1	0	0	0	0	0	0	0	0	0
#rami	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	5	2
#gasc	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
#parr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
#gome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
